photo_id,business_id,caption,label
-bfG-yHgwWh7Mp7lc9u2Xw_aug,2I2jDIr0kL2bQCtYBfknkg,,outside
-AfJ6TzHBUPObubvZXXlYA_aug,MPGfBQ3-GxpoPqIknjoAwg,,inside
-BjIggwcBZ8zQgx7dD48SQ_aug,zSkKCGi7Dq3FPU1RhRmmnw,,inside
-bHiXixpk1HSjDvjGDDvYg_aug,-FM4CxOg4XXmX_Ebky_SiQ,,inside
-bdLRyjWjavuQ_R53Qwm3w_aug,LM54ufrINJWoTN5imV8Etw,,outside
-BPnJsCeD7rQQLOmBevxGw_aug,JwS1qdmkA9S6muZBsdemBQ,Big servings,food
-BrNy_7blzXJpv909rXQrw_aug,ZMejgg0By-DI2wyQWezBbQ,"Maki rolls, tori teriyaki, and the deep fried green tea ice cream.",food
-BxIr8pg2gZYeXzkdRHvnw_aug,FkiQPecSujSwlwUPcdGBzw,,drink
-bkMRu7kYptaiMsjGsDxeg_aug,EfYKKT1ov4SYDBdrQiekvA,Hammock life! They're so comfortable,outside
-Brcomzx88x1_VrurF61JA_aug,WqteSM1GLr8FXefQcIqT5w,Dining room,inside
-BW8LZAgLYSbC9Hka7v5yA_aug,oFbwMxqaCJfIzAEmwaXD3Q,,inside
-BYPci1oosiYZn5v4dgwfw_aug,lWedWkinrM5j13pyimbpbA,,food
-BT9wdnZuXN7LdhDWkB16w_aug,tc3g7TdhTgGqI8D8Rj_10w,Place your order here.,inside
-CcbMZe94Z1RsZO2zMhkgQ_aug,Y0FScnd6UD3g_tUfy2jWuQ,Drink menu,menu
-by-DoyVM1P_lXrNeK1_Qg_aug,j6dvIfAzbHccoySvaqjT4w,,drink
-CCahtrcwslwgH56KN1wDQ_aug,nMn4CTJQPXqpgLltYQrxMA,Craft coffees,drink
-ChEZDW8gj3BzP1n3JxLYQ_aug,gKPWC7F219oEbu5NXPzH4g,Beer menu part 2,menu
-cNfW3tCrycMi_EzaAWhWw_aug,_WZCRH-WGJz7Go5Q0fGoSg,,drink
-c_LI9EU0RTYkbMioHScRA_aug,MQRZphoLZVK278Na2YjzgQ,Inside and counter,inside
-CnFZu8xPwJjbl1BDmIeqQ_aug,UVdFliXKEZYVmOXcSCr8Fg,Capri Homemade Italian Water Ice,outside
-DFJgLT9nAejJn6SokEkrw_aug,hGsITEITVK7LkZQeNv-Fpw,,inside
-dIwGyV6yfG9mJf_NWOD6Q_aug,P4E0Lv494T0OvvupBjvUIQ,Drink special,drink
-cgd194MqTHvP4pUDWRVEA_aug,aquQ6A9ywuaM8mP2_5_aFw,,food
-DtkqPM2d-HhdWnMWYWXOg_aug,jLM0Tik4EajGz5Odjm8HxQ,,food
-Dd6amUcE6Dafkrp0GnXng_aug,d_UJWp4IlGS4sgnjE60eBw,,outside
-Dr6dkKBUy1swrh2nyI_fQ_aug,jxEMFqwDJXjCxmcm5t5jVQ,"Chicken balsamico, Effin hot, buffalo (@foodbythegram)",food
-D9K-2gHCuChsGZksIlUXg_aug,1ikDMnTH3DSeRtgBSceXpQ,,drink
-dmQ1prF_kdFUOXaoXnbHA_aug,Ye5nmTmZ7cL7BQshqZeIWQ,Beer Flight,drink
-e3-m0oqIHGF_OpGuITBIg_aug,2iCZNSHDGBxs_fMzb9aYjA,,inside
-E4S04xYZ3UfDGUqIa1abA_aug,tkY5BJVXxUmP4jsKavkf2g,Aug 2021: Lots of outside seating. There's a second covered area out of view,outside
-EewSc4uPZO7BpLs3YVrCw_aug,opOX9Ys-49bPKGnXQMOOEQ,,drink
-f5s1JJNnIEidltoHrQNwA_aug,3Ce8r1K1O-2JKSMXdXID-w,The ice scalpers,outside
-EHRgpOzgJEEfJakWrbjLw_aug,Ynbd79O142LHhFWZAce1TA,Corner spot,inside
-E_Ku7-82eM3EG7uQNhpqA_aug,wu2nJ5lW0tCU3VYa80i8Uw,,food
-eXn91E_fehWGNZC2a6K5Q_aug,HCqmx4ENAZ76SAjoalj-MQ,,inside
-eKlslCjXGYsqP-VSMqv_Q_aug,-5DcSecinHF2snC4eLv8WA,,drink
-f-rlOpegWEAW2qXqMixGg_aug,qgF_Qvv6qzUd6OY2DgL-IA,Tostones de pana con camarones,food
-Fa9LM7fQ6NIWO42vADLvQ_aug,qiLvgdXkIjq0rw5HLYwxXw,Outdoor area,outside
-F7tf9MzCZFDvO-fdmvPvg_aug,AFe9CAVwXMQe1LssZ-jJmQ,Fries,food
-FfTXojJ1ZlKmOrTuGiEtg_aug,IxJ7f8_XxumSdHQpMIHr0Q,,food
-Fg9hL_kvChL-3JMLUC95g_aug,VaO-VW3e1kARkU9bP1E7Fw,,drink
-FBHEwJpG-MdVp07WQ1OdQ_aug,uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon vibes,outside
-F7sep0WnpyCPiRlEukdyw_aug,Q6BQcgabriKd5wPxvzOIWg,Pecan praline warm dessert + half scoop ice cream,food
-FlNswCMO-wf8yS2rItLSQ_aug,5DDPX5QQS43uACR1MiCVPA,.5 L dunkel! Pröst!,drink
-fRiYk5JdMLqR4-z6VIfPA_aug,rxH22mT81ht_n3cGTbWi4A,,outside
-fwVupkcRvWSyXpx3IuMVg_aug,q39t6-a47CLf1RTyqu9CYg,Crunchy roll,food
-gbIzZd98zZhS2ViBYi-7A_aug,hHCGmb01EGFstumCsd4-VA,For those who need help with the basic process..... start with a cup... add your choice of FroYo... add toppings... weigh & pay,inside
-G2ebyptosdGW_ab-6UD1g_aug,jj9-k3CsTJz0a3_pP4RkJw,,inside
-GJT_UbW2pI1pa8pskpeqQ_aug,VtAhddes6gaZP1ESoeUWSQ,Seating out front,outside
-GbasJ57TAzEavEy3Y8IbQ_aug,FNufNXHffHXRUhIqXWNoCQ,,outside
-GAq8VIF1xj3nZ7ZslGDcQ_aug,WTyW0nI_zv0T3kB9jR750w,The Wawa!,outside
-Gfrq5gT2YqmLs05JLiIWQ_aug,-Gvzq9_6pulzU5y0HFg7IA,Get over here!,inside
-GSbuC9-giN8nTo7IRarZA_aug,jZDKFD0EyoVAQC7-2JoDAQ,,food
-gCjWllmENe3inohylAk_g_aug,yf8a1DOlqoqlKHuLSKEfxg,Infused by Dante's mixologers,drink
-gzEq-Vs66KrQ_yArQnTuQ_aug,Ul3hhOASszHUVxeN95XVNQ,,inside
-H9G_N7zOG3VJ13dP_rhUg_aug,YSgcojsb2kWHXNLWaGCuBA,Ca'Furlan Prosecco was crisp and delicious :-) :-),drink
-HA780su0_vQ_5YjQ8ppSg_aug,miRxzEzV7OIShLQ5x_Lvvg,Fried Catfish and Fried Shrimp Po-Boy,food
-gJz4-EsdTeXn_BoPBh2sA_aug,u2h7GnJSAbH3TNVIk-Aszw,,inside
-GpbaWY4JrrPEW6pDrLu4Q_aug,DcBLYSvOuWcNReolRVr12A,,food
-HtLtFNJrg6JN4LutelofQ_aug,2HxkdqHmbYGj_BH1bLaiSw,#Nektar,drink
-heljHpbTn39u_WxjLLMwg_aug,W4Nx1wALHKeO6fm9DxD7bg,,food
-HGXOzsvtK7yuPhnpmS_GA_aug,VWraqFfeQkwmJRRqUYUJzQ,Bar area,inside
-hJ229nU6QM-E_Y563CxIA_aug,WSx9-iYYyST_umny9sJBFg,Beverages to go!,drink
-IEI58cDrCk_HYvSGbn4ow_aug,vLmyoE81giDAAfasUZeUJw,,inside
-hPQy_14ayFC8Brf9lijIg_aug,Kk7BUZMdcrQ1DTHOQ_pkMA,Exterior,outside
-Iq4IzsnYlE27jDys3sJkA_aug,jME5VhjMZvNKsQJwsPKL7Q,,inside
-I9Q_CIBFYu4B05W7Zz6Mw_aug,yWk13ePLz5VupvE1OdvmCQ,,menu
-IMdSxtWgx5qBoyhb2LeMQ_aug,mtXTk0-IRTS8d0w16ihRPw,,drink
-hWldd8nWa-NwYd307Rsgw_aug,iXkQGJF88zOeXtHMjBmeZg,Ceviche and PEARBELLINI,drink
-IrlOF6lmQhnTD8EJEsdNw_aug,GaAZLzmviiJO93kT2-EnaA,,inside
-ihJZBc42mGq3717k4BGwA_aug,EptWzik5Jo9OVlXBUk-2RQ,,drink
-IX_Bn9RBO2K9d6tbo2P6Q_aug,NnIrd_1O9QyuCLigoxYv3g,,inside
-iYFq8CAG6ZOFpKmJERDrA_aug,ezpDnpa1f87EMLlSGgnDxQ,Sunset Slush with added lychee jelly and passion fruit popping boba,drink
-Jk_Yk7eDzJAi6zm9rzWTg_aug,rR30b1XWbxZFFgLyGbfNAw,Phaya Naga and Emerald Buddha,drink
-J228ddwSoi_wQIMaYBURA_aug,ZpgVL2z1kgRi954c9m9INw,You order your food from a cabin! It's so cute!,inside
-jwuaCwyN_qDMygHnbPAeQ_aug,ExauHeoFNEB3EpUb3xYfSw,Boneless wings,food
-jH94v8XzcdE_0i6amrbIA_aug,omnCKxL0f_akh0eYeJxjDg,Bathroom with piano!,inside
-K8ZdtYWD1aZOs898PTF5Q_aug,bVwshpRymmsAGlmXTj-bGA,,food
-iuBvpqH0NNAdQbgSZhzIg_aug,MM2k7pm2noLwKFflOhO46Q,The menu doubles as a newspaper.,menu
-jTUr6zPphEZNNKeG9z8Cg_aug,VlRuC9HuM9ZJwlDYbLzk2w,,food
-jJvoXmIck6hwylRaL4MJQ_aug,y_dB-WI2TtDk9w2ZBagnNw,Very cool atmosphere,inside
-K9utJ5xR-icQonuqfbqQA_aug,sKVnutBKNgSOfhLaB3MTpA,,outside
-J_BDopOikA_X4t3rqtjFw_aug,qUtOj1SAYXH5aDYVUa4e_w,(photographed by Dave Hong),outside
-J5Y2ctPUuLkcA1d5Q4Ysg_aug,c8R7kt6bpkc--N7l7V3OfA,,outside
-KeaSet1pJOJcojIsETnGw_aug,yz0KWVamNhqiZGz7XTClzg,,drink
-koJO-LpQzdL6EcSDF7onQ_aug,DzzVSYXadZ1_XgfGz_Loyw,,inside
-KHG_7ILer29WzUvR1cZjg_aug,e-kmlwJ-CDSiZCLBBKzUHA,,drink
-kpHREupSKhxmrUqx51OSA_aug,_vetnsfyQcbeYfxoiTIOPA,,outside
-kGOxD1acNrIST48yeX2Yw_aug,9gOB2Tqc_LtvSRDxviFlHA,,food
-kfab9uVR-Lott12YcuZ8Q_aug,OSPLCCP-x_CTyeCSbx_pDQ,,inside
-l4Y_XxZ49OCfaFVVanf4w_aug,MtckxPv3amd-343f0wocRQ,,outside
-LHvGtEFlJ1Q1M9ikLPnAQ_aug,JO76ifyAiBiRPNx_3S0jNQ,Queso and chips,food
-kS8TtMUKStICGlFLadkog_aug,w1cH5PL1j3NciTHk2wgg9A,Sangria,drink
-LWA5kqwJak-cQoDx5o8dg_aug,IvAa7PvfOYl0xRML5W3ebg,Our IPA,drink
-LrflQqY7jPyzQbxO9oJWQ_aug,HUhlFVMjZOgj1-N0JmCo-g,Maple Old Fashioned.,drink
-L8bWxIBhpUK_BfkeMzUqQ_aug,luYd10r7vsGoVVVYDG4HZQ,,food
-lZBdGtvP8YY9wKMJtZdVw_aug,p93jTl9UVsJ-1_Mug3F9bw,,menu
-lcusbzZjPAmMYHXsxpxng_aug,ShJs6GQRJ7p_CaI1scxMkA,,inside
-LZshnf89jOBVkr0qzxIgA_aug,GSikVz_j29G-DvupRPxD6A,,food
-lUFLE2ZGpf-ho1--d7aTA_aug,AIz-s8l_vXHOOyjiykYehw,,outside
-MCc1foaJnuXjM_nOWY-4Q_aug,ZN2JQelvkR0Vr6bLsa0GTg,,drink
-l_oQgrro88DEPKFSj0WKg_aug,CGVpuQ3FpPWyYFQJQlsjLQ,Pomegranate Caipirinha,drink
-m9B9APu5lxEcoW2MF9B8w_aug,NfOnxD8NT4UQmSfBY6iqng,,outside
-MxmU9G11aut3IgMwMb_Zw_aug,8E2--KcyOrJx8my51jid2w,,outside
-mBuc83t4Puhgv9z40i30w_aug,K7KHmHzxNwzqiijSJeKe_A,Nice location,outside
-meqlbuOEVrwBB614pZsrQ_aug,PyQTyIBHznJoNMGFVHrDiQ,Front of store. Looking at free parking lot out front.,outside
-MmAWJu8bWhMCpkNVZpcwA_aug,u7uFQCoHFtBKCtbWUm6yZw,See the alcohol room we're in?!,inside
-N6qK2xzFRAJ5bZ1Q2oZiA_aug,jFmYoL-mN5qU1tBI0A2YXA,Sign over the ordering counter,outside
-MwlZ-KV5Gcs3iuS_PunZA_aug,YvBGiNf-lPJg68RyKBsq2g,,drink
-mxgkr3gVyW2eZXHKiyjCw_aug,lgmcnMeYQrBasT9HMinkqg,High Westified is back in very limited quantities. Two bottles per person please!,drink
-netZTjN3MtkS6nN6QA_Gg_aug,NJaR_2hke7NNAC6l1Ohr8g,,drink
-n92aXMsw5_0wBi2xbAf_g_aug,A0sbhBYYbg73L8uLYsDong,Interior,inside
-NjCTthy3LEFO6fLl7pu3g_aug,fFFzotycO6ij8kAnmdzhJA,,food
-nA6vw2gVlHteifLMNSkBQ_aug,Aes-0Q_guDeYewMapFs_vg,,drink
-N8fwuC6Petp81v9YXNaXw_aug,IJEivHHf5A8LzXXOn0o0Nw,,inside
-nBp3FDXFQPV3zCJrzq21w_aug,w1drxBdIeFllmEsvH_3a6A,Three Flavors Duck,food
-nfSdpDmgW1r_1Rv-OrEaA_aug,R_u4QTal0d5f-FHr7BUXcw,Menu,menu
-nh55AcW-IND_tAWq-uErg_aug,ftBGLu2SNf70z6KeOJ_FFQ,,menu
-NlkknRwkvX2zsgk7oN-Cw_aug,2H27tAaTNGaq3gYuG3HV5A,,food
-nRHdhBVRrEZO2x1M8UvGQ_aug,uZYBF0YTU_iKq4_L_PDtMQ,Beautiful outdoor dining with personal fireplace at the table,outside
-ofjLxNjbtbbEebd-1j97A_aug,7UCEKJGWBqeJ-L-DHw8Y8w,,drink
-Oa01cAYg4H-5PWhLcYwJQ_aug,WWO34S7RwBWlsjJEYuTAaw,,outside
-nSsNTAic3CHbcAOJ7ZKJg_aug,pqiFIcObG_qW16x9cHcznQ,Coffee Bar,inside
-nOFPnSa0xXgBYrZHoGkIA_aug,3oqf6HgS2B9l0f_9bz2ixA,Gridnstone outdoor dining,outside
-oF4dViS0S2LZ2AorN9zRw_aug,N18rU96Qr_XQtSqfQynZMg,Blue Crab & Shrimp Burger,food
-OdUB46VzkpkiLiTum5TXA_aug,-788YqeAedOZseDJOo7kfQ,Lamb kebab with rice,food
-NrcJRBzDuCVmW6leXJCIA_aug,XncT8ubN1EcqJDfIYNUiEQ,Co-Founder Mark Taliancich behind the bar making the good stuff,drink
-oHZD6CRjXAlKVnk6Aa5XQ_aug,-3-6BB10tIWNKGEF0Es2BA,Sakura Bobo Taro Milk Tea 樱花波波香芋奶茶,drink
-PgPrpzqieflqv14iwauGw_aug,xChUI6fyPIZK7bmZryAj1w,Eight &sand stout and sassion ipa available now,drink
-Oxe8zbWnqYxdw_lCmzXrQ_aug,t2ASUt5TzlPUiomdNsQLuA,,outside
-P-UHxJTA6wjZGuVf70UZQ_aug,uIZwBkvWicqyWraXvYOipw,,food
-p4CqyODZVPduIBZtWtgcA_aug,EQ-TZ2eeD_E0BHuvoaeG5Q,,food
-PrbAsttF_fHhC1Z-hvN2g_aug,T9hQBMwt8-3okULfDZx-Lw,,food
-PIX8Wu5vGc3-ICt1A9lCA_aug,Sk1WdGuaCNQlQZ_u_JE0Ew,,outside
-PBCrvSIy75bx15fO3c9OA_aug,GczZuKVQtsWLUgchZW9L-A,Rooftop view,outside
-q3iiD5VWjzPFRUi839AgA_aug,whmn0dUpEb2NbmpVF2Xxcw,The Winter unWINEd,outside
-PZS5-xx22jSd-1VPRLXKw_aug,A3FD_WGaUBASqbR8ID6ZUA,,food
-QIezr-8Blr9mEJ8x3yGdw_aug,ozYCV1L1ACTIZuds0eyQLw,Paradise restaurant patio,inside
-q6tBthVv-CLIYhKCFqRMg_aug,fFUZOVeiA0a6O8aHcGS2sQ,,drink
-Q3KTBYzV2Ki5v-Mvy6uKw_aug,ny2yMwXKJxFbzZ7RD-F3ow,North side of the building,outside
-QeG4G-JTjy5kOM-FJ8XAg_aug,HTgKfmmlzgE43trhntv8-w,Jeyuk kimchi dubu (dubu not pictured),food
-qVsQsiwXGKnaBN1qJRycA_aug,c4ecEZS7BEmPhgSqzVz9tA,,outside
-qQX0F5WUw3OWveHDKiHZg_aug,XJ1KN2kQGBIo8h1nWvZNzw,,outside
-qRL27sSx8QuQttoZdZZMQ_aug,QVGHZ_gV-0fO8GeHnNK17A,,outside
-QtPsdHaSk3cxYdO3uJ4WA_aug,LsnqomcJnEuA3ZAXYU7yUg,,inside
-qBqv1oBG4CMHoKCJBkDjQ_aug,nKpWUL3kMt4cnNQhye2WqA,The ceiling at The Red Hen,inside
-r-mRRAde_6nFj-crgSFgw_aug,MFxRPt8-B2xTYmon3s84kg,I got the Ube ice cream with vanilla cake and condensed milk,inside
-R70m-KMLA4Zfo9HIwo8fA_aug,b4YPBSnqU5_L6TUz147Dow,,drink
-Rc2YM33v_9qUXJt8IGZ2A_aug,zJpBMqVuAzcBhHZSe0-18w,Somewhere over the rainbow donut! Super sweet.,outside
-rClq7i1i_jDoEEsm-_BJw_aug,EaqASiPkxV9OUkvsAp4ODg,Outside front,outside
-re4JE6DpnjPSjb7uq9yqg_aug,4Do_B7sfhfsn4TQV1h0psg,Menu,menu
-r3P-K3wAzYqOV8Bt9-bhw_aug,8s1smKWPOjkSSMVrRn_nQA,,drink
-rxzKBo4EE6msvmRpFqy5A_aug,x2ly0NsSTMmMpljpdIZdYA,"Toarmina: Avion silver tequila, St. Germain, fresh grapefruit juice.",drink
-sLRC5Ago67Pew3QB4X5oA_aug,a0jSWZ8xRTffHVF1IldNqQ,,food
-ROa-5BY1a9AUVX93yofyA_aug,hKWi8b6pQ26nzL9jhNZtEw,,drink
-snjYYcIi4lt2SACgxS0dg_aug,pnvgzxwsuYSx0PbgfF_qxQ,,outside
-SZK6g45HQyDHKkxhaIAKQ_aug,9c7MUiE6VI8NesjPdj5FkA,Chill area in back,inside
-tB_mM8QIYQrnYdzN71XRg_aug,Bfn7SYzvvemCOnjyKd4eaw,SPIKED JASMINE TEA,drink
-U-r18mGUpsFUopyCam6EQ_aug,HJ_rOClY2RPrdervYopKmQ,Rose Sangria making,drink
-sW8sUefoBqJAVaYv6jfhg_aug,ZuOtTcUKmthgvhKo7B_-sg,,inside
-SspPtJcJj6P_4Hm1jvcVg_aug,YnhrJ94quRechwC3a7Pd-g,,food
-t-MLuEaK-ls3JrC2HRFaw_aug,ZbjlLNcnTpemOsqX96692w,,inside
-sredGMFDFVEZoLylOcSRQ_aug,ZKPrXH_GNW_AtZ31tP3NmA,(photographed by Dave Hong),outside
-TttCvc5lSQvlkF2V296EQ_aug,lgmcnMeYQrBasT9HMinkqg,The latest from Grimm's Sumi series. This imperial stout has orange and vanilla.,drink
-tlxUH1WDt9hcsmuVYFnvg_aug,3HPeWFUzyoyM17a4_HOHIg,,drink
-u00M0C8LFUyQsI4ht4etw_aug,w1rUV5W_TJ0M0MRwwrseWQ,,food
-UFBtLzrgMo38oxevFbfHA_aug,-f43-rglIkI4AIowaJF0sQ,,drink
-Ug_CHVNduiKpWuPLGx6XQ_aug,O7030zhOvCEyaDn8cl0ZBA,,menu
-TyL8HT-y_xb21JeFWhQKQ_aug,lvlAJztpuQMcshS4u6G0sA,,inside
-Ui_sQ5Ct_jKHfVEFugOJg_aug,10M-OPRL1iITxEM7FIqeeg,,drink
-uqzdodOzqWoRLoQl5BJNg_aug,ltBBYdNzkeKdCNPDAsxwAA,,food
-vEJeYdeUzKtcoN7fgpxRg_aug,anWreIkJb6fph7kNfuIHCA,,drink
-UkRDWx7QyZ3MSGdNoRyUg_aug,G_e9GaG_MqDibVhINhCn4A,Other decorative stuff,inside
-vILcdU7rqDaaApEo7xGNQ_aug,glMJCRj6IglVf62LRzVofQ,,inside
-uGLD-1njgFI5vO2JPi6nA_aug,2aZNVfzU-3672SjRHnPoOA,Petit Waffle Cone,food
-ux3tAXmUH-_olnsZwKuVQ_aug,0NZkEpA4VeOy7b56KYGx_Q,118 North Fried Cheese Curds,food
-VgXu_tU8RYfGQMHu6csqA_aug,fusQg9Pj0xUC8CzbO2IHrA,,drink
-vHyx0eunMtKJzTJmjPZqg_aug,x4eiXEWGU7PVYs2evHTwNg,,outside
-vO_cKHEZmCo_eYCDHydqg_aug,PUDTWmMzevJdvsueEmnYqw,Sea Salt Cheese Foam Oolong Tea with sago boba & Matcha Pudding Milk Tea with boba,drink
-UtSdKK23uBzR2v2iXN4AA_aug,CaQNvsHVpWuDWTyHVyuU_Q,"This place is legit. The locals flock to this little hole in the wall, and for good reason. Some of the most unique Mexican food I've had.",inside
-uXkRYxsZjqGIrdIkvBb5g_aug,7SsGMebYi3tq2CPM7cW6uQ,Bottled craft beer selection and action hero table markers.,drink
-UVSYFqsvRcmm1yPxRgmBg_aug,OoM2j5LPJC4Mofl2XQjBvQ,,drink
-Vs2fGi8Ean2TGXKz246Lw_aug,ufHzrSwK4HuYklC3CeNM7g,,drink
-vjdIeNruhjaPbVTZpd4Yw_aug,7JPbpoD_oyG0AUbRwHR75g,Wagyu Short Rib,food
